No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
574,Annual,435355,151255,TRUE,-5.0370736,0.22487861,0.3525686,0.411553852,0.7714371,0.64027137,36.4277867,3.694591283
579,Multiannual,624809,158620,TRUE,-1554.6132,-15.761318,0.71854377,0.697593528,0.8649588,17.758564,30.43943753,0.115583885
586,Annual,469505,141905,TRUE,-1907.3999,-4.568472,0.2515116,0.258210865,1.5661681,6.488825,54.59631483,0.715080837
597,Annual,640912,309568,TRUE,-18.092798,-3.2302885,0.7604142,0.79874218,5.07153,2.1228173,0.345809003,0.343357761
603,Decadal,458205,162865,TRUE,-16.30329,-1.721106,0.7034739,0.491683108,0.9633023,3.7046578,51.17590143,0.672830579
637,Decadal,458855,146055,TRUE,-353.90958,-0.304757,-0.13140339,-0.213891758,0.5825729,1.4980689,61.13933845,1.361694788
668,Multiannual,630368,158751,TRUE,-91.59401,0.021300495,0.8126029,0.722519387,0.13353351,0.58530736,6.934133389,0.625708733
669,Annual,586092,303080,TRUE,-5.1383853,-0.029478908,0.79973125,0.800194303,1.9432257,0.6393798,0.964573763,0.379343346
681,Annual,498975,383875,FALSE,-0.7872951,0.31062073,0.5989056,0.604276729,1.1386275,0.45672372,10.36848397,1.354692854
682,Annual,637412,152312,FALSE,-146.397,-0.741349,-0.018494222,0.009183363,0.6856195,2.377018,5.133488436,0.136076996
683,Annual,610938,148896,TRUE,-0.15068054,-0.060258627,0.1928047,0.2371128,0.96318364,0.31353912,94.49867752,8.357818995
697,Annual,414545,176455,TRUE,-89.68402,0.1296916,0.79728246,0.791233197,0.23264876,0.6429086,67.03377945,5.413200029
700,Annual,496055,122035,TRUE,-119.54305,-8.93514,0.06420429,0.124613472,1.0738424,10.890719,8.800154081,0.425372747
701,Annual,499885,379795,FALSE,-4.9201813,-0.108949184,0.5408744,0.493268364,1.1292014,2.0011435,6.205743603,0.456837777
743,Annual,501945,365615,FALSE,-3928.2932,-1.6141539,0.104753755,-0.054590169,0.26342514,3.3430603,9.553313384,0.112421315
748,Decadal,574327,301697,TRUE,-62.09905,0.31155664,0.72692,0.738058677,1.5106485,1.3723217,4.55464867,0.29487891
751,Multiannual,445765,172445,TRUE,-1178.0825,-35.86158,-0.018881515,0.075957549,37.328506,7.1631274,0.441410977,0.477776491
767,Multiannual,446125,176275,TRUE,-2.2507765,0.4464652,0.68165207,0.71570712,1.3029239,0.66341066,15.12695053,2.780945742
785,Annual,565468,119119,TRUE,-1006.9638,-6.5222316,0.5229459,0.509767732,8.060111,3.5517144,6.004934762,1.341963484
800,Annual,610570,143953,FALSE,-33.815712,-0.025413036,0.10021233,0.253861103,0.5436012,0.816822,73.85123276,5.839832375
821,Annual,618650,146611,TRUE,-24.602064,-1.6607082,0.5264113,0.47035412,3.5073435,0.24613585,14.22939524,7.164220031
