No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
1902,Annual,498585,385795,FALSE,-3.347405,-0.27773726,0.82009774,0.836827291,0.12200138,0.0893047,8.211452911,3.86149925
1924,Annual,484125,177305,TRUE,-12.972363,-0.07587087,0.71203995,0.712234227,1.8636216,0.4266457,5.177622408,1.221617169
1927,Annual,474855,112455,TRUE,-264.1066,-0.5017109,-0.19764322,0.063416915,0.10861539,0.8380749,51.00285457,2.802989581
1931,Annual,445705,139405,TRUE,-110.23574,-0.5323906,0.23561129,0.318360543,0.5797696,2.2598977,26.64633848,1.086615681
1936,Annual,456955,137055,TRUE,-716.52716,-2.2564805,0.8432758,0.882448405,0.62802076,4.231381,21.71919722,0.304112481
1946,Annual,517355,409105,FALSE,-121.770096,-2.1122103,-0.015593387,-0.045971301,3.941141,0.9358441,6.562070191,1.755521498
1953,Annual,534991,106689,TRUE,-9.996847,0.22489744,0.6501926,0.698689898,1.3182634,0.38589334,32.95926277,3.260613957
1957,Annual,500795,361435,FALSE,-132.9714,-1.475739,0.54271704,0.605776289,1.4687886,3.3875635,8.290716136,0.347387591
1965,Annual,427455,143755,TRUE,-8.724847,0.38487345,0.79067945,0.802784223,1.5001521,0.70946014,15.95851152,2.611208846
1975,Multiannual,585718,243969,FALSE,-306.29,-1.1453362,0.75553167,0.745535263,2.5152051,2.4989586,4.459121659,0.387624898
1986,Annual,458655,120655,TRUE,-7.464719,0.30207658,0.636804,0.691672634,0.5640671,0.5936158,32.36538907,5.029884407
1989,Annual,637448,321063,TRUE,-9.088293,-1.4973192,0.77747494,0.78532247,3.2275145,2.1069849,0.134350551,0.106305538
1994,Multiannual,365480,386580,FALSE,-3942.7761,-4.4185047,0.6145006,0.620717002,0.470282,6.378792,19.24565423,0.163039583
2000,Annual,616405,149524,TRUE,-2.733731,-0.11136508,0.1605753,0.142826381,0.57030284,0.41190243,24.93449261,6.524916173
2030,Annual,487060,106438,TRUE,-39.344147,-0.94378054,0.7270116,0.751611994,2.8764422,0.57253397,3.930001057,1.168207595
2058,Decadal,434419,150392,TRUE,-52.387463,-1.0871718,0.62480325,0.573687343,2.9907656,0.49763876,13.1209834,3.596062209
2060,Annual,607760,144780,FALSE,-690.5518,-31.679623,0.57724345,0.67699506,33.34901,5.6184173,0.240538432,0.301634272
2066,Annual,541185,376415,FALSE,0.09872198,0.37382782,0.4444269,0.484568527,0.98934126,0.71135485,12.23952229,0.786076825
2070,Annual,413280,137500,TRUE,-4522.01,-5.042238,0.64381313,0.618913717,5.826569,4.6174884,2.354414557,0.169275965
2077,Annual,570211,315823,TRUE,-1211.4895,-27.43837,0.6659303,0.704757582,29.409946,2.2283378,0.358044774,0.292486787
2104,Annual,501115,319985,FALSE,-50.47963,-0.9742497,0.56757426,0.661400862,2.92387,1.0969411,3.105098032,0.84045148
2127,Annual,381460,92494,TRUE,-5338.8965,-3.191605,0.18219693,0.181409187,0.34876743,5.059155,48.8833976,0.436656496
2145,Annual,507575,105255,TRUE,-828.55334,-0.040097117,0.79023117,0.876786396,0.10694568,0.5098446,25.13697662,0.779628371
2155,Annual,627871,140025,TRUE,-129.25577,0.35470062,0.79242086,0.739772378,0.5817053,0.5546332,100.9011161,3.704209956
2168,Multiannual,455795,84695,TRUE,-183.77892,-0.10870433,0.33445242,0.243663098,0.24934697,0.52799237,16.55047613,0.916249918
2172,Annual,598140,317310,TRUE,-377.99698,-21.772188,0.6272489,0.666191217,23.680063,3.012894,0.316504174,0.371830093
2173,Annual,576482,301571,TRUE,-147.6948,0.14198345,0.773769,0.781234262,0.3003937,0.55777603,9.231092898,0.530412898
2174,Multiannual,622423,158787,TRUE,-660.9684,-4.6487026,0.7466303,0.678361406,6.2720327,3.012331,0.777633945,0.160019007
2175,Multiannual,478014,137240,TRUE,-65.20728,-0.5279002,0.7154853,0.711860727,0.59902585,2.4466426,5.744050171,0.290819626
2177,Annual,589009,280979,TRUE,-43.081516,0.29710323,0.8648469,0.808322079,0.86119205,1.6756742,18.56928529,0.392290972
2183,Annual,408365,174325,TRUE,-76.77254,-1.9151711,0.6283637,0.637224666,3.8073053,0.30779517,18.17280195,5.811443826
2185,Annual,501705,108405,TRUE,-46.88404,-3.4599185,0.3625674,0.264125122,0.90803826,5.4131894,17.00207838,0.337149063
2214,Multiannual,645401,288532,FALSE,-22809.633,-1.1289363,0.22290704,0.234961267,0.09156904,2.7616289,18.73995722,0.112735902
2218,Annual,410773,115946,TRUE,-286.34595,-2.349163,0.71799976,0.784039385,1.4455739,4.307403,12.74008847,0.342952964
2223,Annual,465218,113244,TRUE,-36.507114,0.17575502,0.55062735,0.617692309,0.33050838,0.8290471,29.10878813,3.215454148
2224,Annual,627137,160209,TRUE,-15.024202,0.09053165,0.5994935,0.762902231,0.48926878,0.36291257,11.01172718,1.436515833
2226,Multiannual,589929,155935,TRUE,-146.93898,-2.4688902,0.7938065,0.766971887,1.1138339,4.4608936,53.02638779,0.52121192
2234,Annual,400285,201265,TRUE,-0.27301157,0.68774366,0.69671416,0.72377556,0.92593765,0.9939583,30.87894627,2.793832568
2236,Annual,507360,311200,FALSE,-178.60104,-1.6860604,0.5553833,0.595715653,3.6306326,1.3114868,1.526169619,0.300636177
2241,Annual,559119,121857,TRUE,-2562.4841,-8.457939,0.56727934,0.557499133,10.378317,2.1456828,4.2084447,0.780009455
2246,Annual,414340,124140,TRUE,-128.01285,0.21726537,0.74961674,0.754901124,0.36562833,0.61587214,61.69522238,3.451816429
