No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
3320,Annual,502289,458234,54.009985,-0.440612,0.7776922,0.73582137,0.91020536,0.894369521,1.0549756,0.75771046,0.57215035,0.600312,0.8802412,0.886205752,1.102397,0.6326826
3321,Multiannual,382165,270795,52.334938,-2.26316,0.82533973,0.8768275,0.9099061,0.912682149,0.99538255,0.9161379,-0.8718103,0.7889349,0.869004,0.882478227,1.0713854,1.149312
3328,Annual,585292,294975,52.521133,0.72965,0.8972422,0.86113334,0.95090365,0.953901356,1.0226486,0.87209314,0.8147238,0.724399,0.942332,0.944075969,1.2629856,0.94109446
3340,Annual,509539,469935,54.113618,-0.325809,0.935355,0.9188298,0.9680828,0.97409178,0.99893194,0.9253763,0.8222269,0.90960115,0.91043174,0.822805857,1.0068222,0.9898546
3348,Annual,509486,449441,53.929516,-0.333994,0.31078428,0.47474217,0.6136912,0.631562028,1.2963581,0.80292434,-0.097433925,-13.427034,0.49153113,0.652431319,15.407512,0.4119745
3349,Annual,509498,449458,53.929666,-0.333805,0.60162055,0.7327932,0.81146216,0.814568195,1.0915363,0.83424866,0.2683311,0.6238948,0.8683442,0.877780097,1.2885556,0.7978678
3356,Multiannual,414465,304645,52.639351,-1.78767,0.851994,0.83688927,0.9257642,0.921069411,1.0003489,0.85476315,-0.22425759,0.53103554,0.7115811,0.710919059,0.8983467,0.64446086
3382,Annual,419290,199450,51.693467,-1.722314,0.61430186,0.80062217,0.8139039,0.791036101,0.9386791,0.9631367,0.7475376,0.8741057,0.87904495,0.88841844,0.96512794,0.9982542
3387,Annual,419281,199444,51.693414,-1.722444,0.42031223,0.74572366,0.87410796,0.879137025,1.0842596,1.2042325,0.5016651,0.7539234,0.8755931,0.888869219,1.0597848,1.203729
3398,Annual,304697,507680,54.455518,-3.471513,0.8040067,0.81516707,0.8985331,0.896431431,1.0115709,0.8459439,0.6929328,0.8278545,0.847646,0.852464701,1.058376,0.9450959
3403,Annual,339145,567905,55.00196,-2.952885,0.7161833,0.80281645,0.8832417,0.880854748,1.0511895,0.84957445,0.65822434,0.82318217,0.91222715,0.913519112,0.9216919,0.8679866
3423,Annual,435855,179275,51.511265,-1.484724,0.8571078,0.87456524,0.92683643,0.934881183,1.0068781,0.89834565,0.8472246,0.9081404,0.93891156,0.925070867,1.0238552,0.93567836
3426,Multiannual,483855,194305,51.6413,-0.78959,0.75679505,0.89508486,0.92485356,0.92930392,1.0731797,1.002239,-1.4259305,0.44212478,0.5613067,0.59278311,1.136191,1.3165897
3436,Annual,401010,195750,51.660527,-1.986789,0.70481306,0.85073704,0.8628918,0.872072863,0.94106233,1.0026407,0.65568316,0.73311615,0.81614125,0.868275722,1.0449547,0.8118481
3439,Annual,477551,114895,50.928302,-0.897889,0.921963,0.90860665,0.9611994,0.966677731,1.0006982,0.9172549,0.80271477,0.7261167,0.92605317,0.891806362,1.0300609,0.7380072
3458,Annual,411402,204667,51.740588,-1.836264,0.7544522,0.7608065,0.87178934,0.890586715,1.0006195,0.7980718,0.6411194,0.6111684,0.8333172,0.862010546,0.99257296,0.64878577
